TS,Image,FPS,Frame_No,Latitude,Longitude,Object_ID,x1,y1,x2,y2,LP_Text
01-10-2024_15-45-16,00000006.png,24.0,7.0,35.915170377962724,14.495216967442692,1,991.0,646.0,1183.0,718.0,
01-10-2024_15-45-20,00000007.png,24.0,26.0,35.915170377962724,14.495216967442692,0,1806.0,138.0,1908.0,249.0,
01-10-2024_15-45-20,00000007.png,24.0,26.0,35.915170377962724,14.495216967442692,0,1383.0,175.0,1633.0,328.0,
01-10-2024_15-45-20,00000007.png,24.0,26.0,35.915170377962724,14.495216967442692,0,1862.0,150.0,1920.0,218.0,
01-10-2024_15-45-20,00000007.png,24.0,26.0,35.915170377962724,14.495216967442692,0,1824.0,158.0,1920.0,225.0,
01-10-2024_15-45-20,00000007.png,24.0,26.0,35.915170377962724,14.495216967442692,0,631.0,134.0,1783.0,1031.0,
01-10-2024_15-45-20,00000007.png,24.0,26.0,35.915170377962724,14.495216967442692,1,991.0,646.0,1183.0,718.0,
01-10-2024_15-45-26,00000009.png,24.0,0.0,35.915170377962724,14.495216967442692,0,299.0,0.0,1490.0,1080.0,
01-10-2024_15-45-26,00000009.png,24.0,0.0,35.915170377962724,14.495216967442692,1,804.0,439.0,1000.0,492.0,
01-10-2024_15-45-26,00000009.png,24.0,0.0,35.915170377962724,14.495216967442692,0,950.0,97.0,1036.0,194.0,
01-10-2024_15-45-26,00000009.png,24.0,0.0,35.915170377962724,14.495216967442692,0,853.0,96.0,1123.0,287.0,
01-10-2024_15-45-30,00000010.png,24.0,62.0,35.915170377962724,14.495216967442692,0,839.0,63.0,1920.0,844.0,
01-10-2024_15-45-30,00000010.png,24.0,62.0,35.915170377962724,14.495216967442692,1,1156.0,515.0,1314.0,576.0,
01-10-2024_15-45-30,00000010.png,24.0,62.0,35.915170377962724,14.495216967442692,0,1822.0,55.0,1920.0,237.0,
01-10-2024_15-59-05,00000000.png,24.0,66.0,35.915170377962724,14.495216967442692,0,219.0,0.0,979.0,720.0,
01-10-2024_15-59-05,00000000.png,24.0,66.0,35.915170377962724,14.495216967442692,1,591.0,457.0,737.0,504.0,
01-10-2024_15-59-05,00000000.png,24.0,66.0,35.915170377962724,14.495216967442692,0,145.0,145.0,239.0,214.0,
01-10-2024_15-59-05,00000000.png,24.0,66.0,35.915170377962724,14.495216967442692,0,238.0,160.0,409.0,269.0,
01-10-2024_15-59-05,00000000.png,24.0,66.0,35.915170377962724,14.495216967442692,0,43.0,156.0,128.0,221.0,
01-10-2024_15-59-08,00000001.png,24.0,115.0,35.915170377962724,14.495216967442692,0,219.0,0.0,979.0,720.0,
01-10-2024_15-59-08,00000001.png,24.0,115.0,35.915170377962724,14.495216967442692,1,591.0,457.0,737.0,504.0,
01-10-2024_15-59-08,00000001.png,24.0,115.0,35.915170377962724,14.495216967442692,0,145.0,145.0,239.0,214.0,
01-10-2024_15-59-08,00000001.png,24.0,115.0,35.915170377962724,14.495216967442692,0,238.0,160.0,409.0,269.0,
01-10-2024_15-59-08,00000001.png,24.0,115.0,35.915170377962724,14.495216967442692,0,43.0,156.0,128.0,221.0,
01-10-2024_15-59-11,00000002.png,24.0,102.0,35.915170377962724,14.495216967442692,0,1204.0,92.0,1272.0,166.0,
01-10-2024_15-59-11,00000002.png,24.0,102.0,35.915170377962724,14.495216967442692,0,922.0,117.0,1088.0,218.0,
01-10-2024_15-59-11,00000002.png,24.0,102.0,35.915170377962724,14.495216967442692,0,1241.0,100.0,1280.0,145.0,
01-10-2024_15-59-11,00000002.png,24.0,102.0,35.915170377962724,14.495216967442692,0,1216.0,105.0,1280.0,150.0,
01-10-2024_15-59-11,00000002.png,24.0,102.0,35.915170377962724,14.495216967442692,0,421.0,89.0,1189.0,687.0,
01-10-2024_15-59-11,00000002.png,24.0,102.0,35.915170377962724,14.495216967442692,1,660.0,430.0,788.0,479.0,
01-10-2024_15-59-15,00000003.png,24.0,109.0,35.915170377962724,14.495216967442692,0,219.0,0.0,979.0,720.0,
01-10-2024_15-59-15,00000003.png,24.0,109.0,35.915170377962724,14.495216967442692,1,591.0,457.0,737.0,504.0,
01-10-2024_15-59-15,00000003.png,24.0,109.0,35.915170377962724,14.495216967442692,0,145.0,145.0,239.0,214.0,
01-10-2024_15-59-15,00000003.png,24.0,109.0,35.915170377962724,14.495216967442692,0,238.0,160.0,409.0,269.0,
01-10-2024_15-59-15,00000003.png,24.0,109.0,35.915170377962724,14.495216967442692,0,43.0,156.0,128.0,221.0,
01-10-2024_15-59-18,00000004.png,24.0,13.0,35.915170377962724,14.495216967442692,0,1204.0,92.0,1272.0,166.0,
01-10-2024_15-59-18,00000004.png,24.0,13.0,35.915170377962724,14.495216967442692,0,922.0,117.0,1088.0,218.0,
01-10-2024_15-59-18,00000004.png,24.0,13.0,35.915170377962724,14.495216967442692,0,1241.0,100.0,1280.0,145.0,
01-10-2024_15-59-18,00000004.png,24.0,13.0,35.915170377962724,14.495216967442692,0,1216.0,105.0,1280.0,150.0,
01-10-2024_15-59-18,00000004.png,24.0,13.0,35.915170377962724,14.495216967442692,0,421.0,89.0,1189.0,687.0,
01-10-2024_15-59-18,00000004.png,24.0,13.0,35.915170377962724,14.495216967442692,1,660.0,430.0,788.0,479.0,
01-10-2024_15-59-21,00000005.png,24.0,40.0,35.915170377962724,14.495216967442692,0,1204.0,92.0,1272.0,166.0,
01-10-2024_15-59-21,00000005.png,24.0,40.0,35.915170377962724,14.495216967442692,0,922.0,117.0,1088.0,218.0,
01-10-2024_15-59-21,00000005.png,24.0,40.0,35.915170377962724,14.495216967442692,0,1241.0,100.0,1280.0,145.0,
01-10-2024_15-59-21,00000005.png,24.0,40.0,35.915170377962724,14.495216967442692,0,1216.0,105.0,1280.0,150.0,
01-10-2024_15-59-21,00000005.png,24.0,40.0,35.915170377962724,14.495216967442692,0,421.0,89.0,1189.0,687.0,
01-10-2024_15-59-21,00000005.png,24.0,40.0,35.915170377962724,14.495216967442692,1,660.0,430.0,788.0,479.0,
01-10-2024_15-59-24,00000006.png,24.0,111.0,35.915170377962724,14.495216967442692,0,1204.0,92.0,1272.0,166.0,
01-10-2024_15-59-24,00000006.png,24.0,111.0,35.915170377962724,14.495216967442692,0,922.0,117.0,1088.0,218.0,
01-10-2024_15-59-24,00000006.png,24.0,111.0,35.915170377962724,14.495216967442692,0,1241.0,100.0,1280.0,145.0,
01-10-2024_15-59-24,00000006.png,24.0,111.0,35.915170377962724,14.495216967442692,0,1216.0,105.0,1280.0,150.0,
01-10-2024_15-59-24,00000006.png,24.0,111.0,35.915170377962724,14.495216967442692,0,421.0,89.0,1189.0,687.0,
01-10-2024_15-59-24,00000006.png,24.0,111.0,35.915170377962724,14.495216967442692,1,660.0,430.0,788.0,479.0,
01-10-2024_15-59-27,00000007.png,24.0,101.0,35.915170377962724,14.495216967442692,0,219.0,0.0,979.0,720.0,
01-10-2024_15-59-27,00000007.png,24.0,101.0,35.915170377962724,14.495216967442692,1,591.0,457.0,737.0,504.0,
01-10-2024_15-59-27,00000007.png,24.0,101.0,35.915170377962724,14.495216967442692,0,145.0,145.0,239.0,214.0,
01-10-2024_15-59-27,00000007.png,24.0,101.0,35.915170377962724,14.495216967442692,0,238.0,160.0,409.0,269.0,
01-10-2024_15-59-27,00000007.png,24.0,101.0,35.915170377962724,14.495216967442692,0,43.0,156.0,128.0,221.0,
01-10-2024_15-59-31,00000008.png,24.0,96.0,35.915170377962724,14.495216967442692,0,1204.0,92.0,1272.0,166.0,
01-10-2024_15-59-31,00000008.png,24.0,96.0,35.915170377962724,14.495216967442692,0,922.0,117.0,1088.0,218.0,
01-10-2024_15-59-31,00000008.png,24.0,96.0,35.915170377962724,14.495216967442692,0,1241.0,100.0,1280.0,145.0,
01-10-2024_15-59-31,00000008.png,24.0,96.0,35.915170377962724,14.495216967442692,0,1216.0,105.0,1280.0,150.0,
01-10-2024_15-59-31,00000008.png,24.0,96.0,35.915170377962724,14.495216967442692,0,421.0,89.0,1189.0,687.0,
01-10-2024_15-59-31,00000008.png,24.0,96.0,35.915170377962724,14.495216967442692,1,660.0,430.0,788.0,479.0,
01-10-2024_15-59-34,00000009.png,24.0,64.0,35.915170377962724,14.495216967442692,0,1204.0,92.0,1272.0,166.0,
01-10-2024_15-59-34,00000009.png,24.0,64.0,35.915170377962724,14.495216967442692,0,922.0,117.0,1088.0,218.0,
01-10-2024_15-59-34,00000009.png,24.0,64.0,35.915170377962724,14.495216967442692,0,1241.0,100.0,1280.0,145.0,
01-10-2024_15-59-34,00000009.png,24.0,64.0,35.915170377962724,14.495216967442692,0,1216.0,105.0,1280.0,150.0,
01-10-2024_15-59-34,00000009.png,24.0,64.0,35.915170377962724,14.495216967442692,0,421.0,89.0,1189.0,687.0,
01-10-2024_15-59-34,00000009.png,24.0,64.0,35.915170377962724,14.495216967442692,1,660.0,430.0,788.0,479.0,
01-10-2024_16-01-15,00000000.png,24.0,71.0,35.915170377962724,14.495216967442692,0,219.0,0.0,979.0,720.0,
01-10-2024_16-01-15,00000000.png,24.0,71.0,35.915170377962724,14.495216967442692,1,591.0,457.0,737.0,504.0,
01-10-2024_16-01-15,00000000.png,24.0,71.0,35.915170377962724,14.495216967442692,0,145.0,145.0,239.0,214.0,
01-10-2024_16-01-15,00000000.png,24.0,71.0,35.915170377962724,14.495216967442692,0,238.0,160.0,409.0,269.0,
01-10-2024_16-01-15,00000000.png,24.0,71.0,35.915170377962724,14.495216967442692,0,43.0,156.0,128.0,221.0,
01-10-2024_16-01-19,00000001.png,24.0,92.0,35.915170377962724,14.495216967442692,0,559.0,42.0,1280.0,562.0,
01-10-2024_16-01-19,00000001.png,24.0,92.0,35.915170377962724,14.495216967442692,1,770.0,343.0,876.0,384.0,
01-10-2024_16-01-19,00000001.png,24.0,92.0,35.915170377962724,14.495216967442692,0,1214.0,37.0,1280.0,158.0,
01-10-2024_16-01-22,00000002.png,24.0,72.0,35.915170377962724,14.495216967442692,0,1204.0,92.0,1272.0,166.0,
01-10-2024_16-01-22,00000002.png,24.0,72.0,35.915170377962724,14.495216967442692,0,922.0,117.0,1088.0,218.0,
01-10-2024_16-01-22,00000002.png,24.0,72.0,35.915170377962724,14.495216967442692,0,1241.0,100.0,1280.0,145.0,
01-10-2024_16-01-22,00000002.png,24.0,72.0,35.915170377962724,14.495216967442692,0,1216.0,105.0,1280.0,150.0,
01-10-2024_16-01-22,00000002.png,24.0,72.0,35.915170377962724,14.495216967442692,0,421.0,89.0,1189.0,687.0,
01-10-2024_16-01-22,00000002.png,24.0,72.0,35.915170377962724,14.495216967442692,1,660.0,430.0,788.0,479.0,
01-10-2024_16-01-25,00000003.png,24.0,21.0,35.915170377962724,14.495216967442692,0,302.0,210.0,432.0,350.0,
01-10-2024_16-01-25,00000003.png,24.0,21.0,35.915170377962724,14.495216967442692,0,259.0,222.0,832.0,606.0,
01-10-2024_16-01-25,00000003.png,24.0,21.0,35.915170377962724,14.495216967442692,1,556.0,374.0,645.0,399.0,
01-10-2024_16-01-25,00000003.png,24.0,21.0,35.915170377962724,14.495216967442692,0,150.0,237.0,224.0,309.0,
01-10-2024_16-01-25,00000003.png,24.0,21.0,35.915170377962724,14.495216967442692,0,217.0,239.0,347.0,318.0,
01-10-2024_16-01-28,00000004.png,24.0,13.0,35.915170377962724,14.495216967442692,0,219.0,0.0,979.0,720.0,
01-10-2024_16-01-28,00000004.png,24.0,13.0,35.915170377962724,14.495216967442692,1,591.0,457.0,737.0,504.0,
01-10-2024_16-01-28,00000004.png,24.0,13.0,35.915170377962724,14.495216967442692,0,145.0,145.0,239.0,214.0,
01-10-2024_16-01-28,00000004.png,24.0,13.0,35.915170377962724,14.495216967442692,0,238.0,160.0,409.0,269.0,
01-10-2024_16-01-28,00000004.png,24.0,13.0,35.915170377962724,14.495216967442692,0,43.0,156.0,128.0,221.0,
01-10-2024_16-01-31,00000005.png,24.0,46.0,35.915170377962724,14.495216967442692,0,219.0,0.0,979.0,720.0,
01-10-2024_16-01-31,00000005.png,24.0,46.0,35.915170377962724,14.495216967442692,1,591.0,457.0,737.0,504.0,
01-10-2024_16-01-31,00000005.png,24.0,46.0,35.915170377962724,14.495216967442692,0,145.0,145.0,239.0,214.0,
01-10-2024_16-01-31,00000005.png,24.0,46.0,35.915170377962724,14.495216967442692,0,238.0,160.0,409.0,269.0,
01-10-2024_16-01-31,00000005.png,24.0,46.0,35.915170377962724,14.495216967442692,0,43.0,156.0,128.0,221.0,
01-10-2024_16-01-34,00000006.png,24.0,101.0,35.915170377962724,14.495216967442692,0,559.0,42.0,1280.0,562.0,
01-10-2024_16-01-34,00000006.png,24.0,101.0,35.915170377962724,14.495216967442692,1,770.0,343.0,876.0,384.0,
01-10-2024_16-01-34,00000006.png,24.0,101.0,35.915170377962724,14.495216967442692,0,1214.0,37.0,1280.0,158.0,
01-10-2024_16-01-38,00000007.png,24.0,76.0,35.915170377962724,14.495216967442692,0,219.0,0.0,979.0,720.0,
01-10-2024_16-01-38,00000007.png,24.0,76.0,35.915170377962724,14.495216967442692,1,591.0,457.0,737.0,504.0,
01-10-2024_16-01-38,00000007.png,24.0,76.0,35.915170377962724,14.495216967442692,0,145.0,145.0,239.0,214.0,
01-10-2024_16-01-38,00000007.png,24.0,76.0,35.915170377962724,14.495216967442692,0,238.0,160.0,409.0,269.0,
01-10-2024_16-01-38,00000007.png,24.0,76.0,35.915170377962724,14.495216967442692,0,43.0,156.0,128.0,221.0,
01-10-2024_16-01-41,00000008.png,24.0,78.0,35.915170377962724,14.495216967442692,0,559.0,42.0,1280.0,562.0,
01-10-2024_16-01-41,00000008.png,24.0,78.0,35.915170377962724,14.495216967442692,1,770.0,343.0,876.0,384.0,
01-10-2024_16-01-41,00000008.png,24.0,78.0,35.915170377962724,14.495216967442692,0,1214.0,37.0,1280.0,158.0,
01-10-2024_16-01-44,00000009.png,24.0,109.0,35.915170377962724,14.495216967442692,0,219.0,0.0,979.0,720.0,
01-10-2024_16-01-44,00000009.png,24.0,109.0,35.915170377962724,14.495216967442692,1,591.0,457.0,737.0,504.0,
01-10-2024_16-01-44,00000009.png,24.0,109.0,35.915170377962724,14.495216967442692,0,145.0,145.0,239.0,214.0,
01-10-2024_16-01-44,00000009.png,24.0,109.0,35.915170377962724,14.495216967442692,0,238.0,160.0,409.0,269.0,
01-10-2024_16-01-44,00000009.png,24.0,109.0,35.915170377962724,14.495216967442692,0,43.0,156.0,128.0,221.0,
